ID,final_label
2499,tích cực
2500,trung tính
2501,trung tính
2502,tích cực
2503,tích cực
2504,tích cực
2505,tích cực
2506,trung tính
2507,trung tính
2508,tiêu cực
2509,tiêu cực
2510,trung tính
2511,trung tính
2512,trung tính
2514,trung tính
2515,tích cực
2516,tích cực
2517,trung tính
2518,tích cực
2519,trung tính
2520,trung tính
2521,trung tính
2522,tích cực
2523,tiêu cực
2524,trung tính
2525,tích cực
2526,tiêu cực
2527,tích cực
2528,trung tính
2529,tích cực
2530,trung tính
2531,trung tính
2532,trung tính
2533,trung tính
2534,tiêu cực
2535,tiêu cực
2536,trung tính
2537,trung tính
2538,tích cực
2539,tích cực
2540,tích cực
2542,trung tính
2543,tích cực
2544,trung tính
2545,trung tính
2548,trung tính
2549,tích cực
2550,trung tính
2551,tích cực
2552,trung tính
2554,trung tính
2555,tích cực
2556,trung tính
2557,tiêu cực
2558,tích cực
2559,tiêu cực
2560,trung tính
2561,trung tính
2562,trung tính
2563,tích cực
2564,tích cực
2565,trung tính
2566,trung tính
2567,trung tính
2568,trung tính
2569,tích cực
2570,trung tính
2571,tiêu cực
2572,trung tính
2573,trung tính
2574,tích cực
2575,trung tính
2576,tích cực
2577,trung tính
2579,tích cực
2580,tích cực
2581,tích cực
2582,trung tính
2583,tích cực
2584,tích cực
2585,tích cực
2586,tích cực
2587,tiêu cực
2588,trung tính
2589,trung tính
2590,tiêu cực
2591,tích cực
2592,trung tính
2593,trung tính
2594,trung tính
2595,trung tính
2596,tích cực
2597,trung tính
2598,tiêu cực
2599,trung tính
2600,trung tính
2601,trung tính
2602,tích cực
2603,trung tính
2604,tích cực
2605,trung tính
2607,tích cực
2608,tiêu cực
2609,trung tính
2610,trung tính
2611,trung tính
2612,trung tính
2613,tích cực
2614,tích cực
2615,tích cực
2616,tích cực
2617,tích cực
2618,tiêu cực
2619,trung tính
2620,tích cực
2621,trung tính
2622,trung tính
2623,tích cực
2624,tích cực
2625,trung tính
2626,trung tính
2627,trung tính
2628,trung tính
2629,trung tính
2630,tích cực
2631,trung tính
2632,trung tính
2633,trung tính
2634,trung tính
2635,trung tính
2636,trung tính
2637,trung tính
2638,tích cực
2639,trung tính
2640,trung tính
2641,trung tính
2642,trung tính
2643,tích cực
2644,tiêu cực
2645,trung tính
2646,trung tính
2647,tích cực
2648,trung tính
2649,tiêu cực
2650,tiêu cực
2651,tích cực
2652,trung tính
2653,tiêu cực
2654,trung tính
2655,tích cực
2656,tích cực
2657,tích cực
2658,trung tính
2659,trung tính
2660,trung tính
2661,trung tính
2662,trung tính
2663,tích cực
2664,tiêu cực
2665,trung tính
2667,trung tính
2668,trung tính
2669,tích cực
2670,trung tính
2671,trung tính
2672,trung tính
2673,trung tính
2674,trung tính
2675,trung tính
2676,tiêu cực
2677,trung tính
2678,trung tính
2679,tích cực
2681,trung tính
2682,tiêu cực
2683,tiêu cực
2684,trung tính
2685,tích cực
2686,trung tính
2687,tích cực
2688,tích cực
2689,tiêu cực
2691,trung tính
2692,trung tính
2693,trung tính
2694,tiêu cực
2695,tích cực
2696,trung tính
2697,tiêu cực
2698,trung tính
2699,tích cực
2700,trung tính
2701,tích cực
2702,trung tính
